CAMPUS_UTILIZADO,SEDE,NACIONALIDAD,CLAVE_GENERO,AREA,CLAVE_MAJOR_PGMA_ACAD,DESC_CIUDAD_ESCUELA,DESC_MUNICIPIO_ESCUELA,DESC_ESTADO_ESCUELA,DESC_PAIS_ESCUELA,V_PROM_IND,V_PAA_IND,V_TEC_NO_TEC,FECHA_DECISION_ADMISION_FINAL,PERFIL,IPP,INSCRITO,CAMPUS_APORTACION,EDAD,ORIGEN_DE_LA_SOLICITUD,PUNTAJE_EUC,RUBRICA,ENSAYO,CV,V_SOL_BSE,BECA_SOAF,V_POSTDTA,V_POSTULADOBTE,v_becadobte,BECABTE,DISCIPLINA,BECA_BHP,V_POSSTEAM,V_BHP,V_BSE,v_anybeca,POST_ANYBECA,prcBeca_f,TIPO_BECA_F,V_BECABTE,V_ANY_BECA,PRC_BECA_F
Cuernavaca,MOR,Mexicana,M,PTM,PTM,Cuernavaca,Cuernavaca,Morelos,México,90.0,1285,No Tec,2024-01-18T00:00:00.000Z,Perfil A+,1,1,Cuernavaca,15.0,Solicitud,46.0,79.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
León,LEO,Mexicana,M,PBB,PBB,León de los Aldama,León,Guanajuato,México,94.43,1064,No Tec,2024-02-01T00:00:00.000Z,Perfil A,1,1,León,15.0,Solicitud,20.0,100.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Santa Fe,CSF,Mexicana,M,PTM,PTM,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,México,78.0,1236,No Tec,2024-01-18T00:00:00.000Z,Perfil B,1,1,Santa Fe,14.0,Solicitud,50.0,71.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Ciudad de México,CCM,Mexicana,M,PTM,PTM,Ciudad de México,Benito Juárez,Ciudad de México,México,91.0,877,No Tec,2024-02-06T00:00:00.000Z,Perfil B,1,1,Ciudad de México,16.0,Solicitud,42.0,75.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Eugenio Garza Sada,PGS,Mexicana,M,PBB,PBB,Monterrey,Monterrey,Nuevo León,México,91.0,1212,No Tec,2024-02-14T00:00:00.000Z,Perfil A+,1,1,Monterrey,15.0,Solicitud,28.0,88.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Santa Fe,CSF,Mexicana,M,PBB,PBB,Ciudad de México,Benito Juárez,Ciudad de México,México,83.5,918,No Tec,2024-02-15T00:00:00.000Z,Perfil C,0,0,,15.0,Solicitud,32.0,40.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,Atletico,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Sin beca,0.0,0.0,0.0
Eugenio Garza Lagüera,PGL,Mexicana,M,PBB,PBB,Tayoltita,San Dimas,Durango,México,98.5,1189,No Tec,2024-01-26T00:00:00.000Z,Perfil A+,1,1,Laguna,15.0,Solicitud,15.0,96.0,21.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Sin beca,0.0,0.0,0.0
Ciudad de México,CCM,Mexicana,M,PBB,PBB,Tláhuac,Indefinido,Ciudad de México,México,88.0,935,No Tec,2024-02-15T00:00:00.000Z,Perfil B,1,1,Ciudad de México,14.0,Contacto directo,11.0,75.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Toluca,MET,Mexicana,F,PBB,PBB,Metepec,Metepec,Estado de México,México,88.0,956,No Tec,2024-01-31T00:00:00.000Z,Perfil A,1,1,Toluca,14.0,Solicitud,17.0,75.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Sinaloa,SIN,Mexicana,M,PBB,PBB,Culiacán Rosales,Culiacán,Sinaloa,México,96.0,1243,No Tec,2024-02-20T00:00:00.000Z,Perfil A+,1,1,Sinaloa,14.0,Solicitud,37.0,98.0,23.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
