CAMPUS_UTILIZADO,SEDE,NACIONALIDAD,CLAVE_GENERO,CLAVE_TIPO_ADMISION_TIPO_INGRESO,AREA,CLAVE_MAJOR_PGMA_ACAD,CLAVE_ESCUELA,NOMBRE_ESCUELA,DESC_MUNICIPIO_ESCUELA,DESC_PAIS_ESCUELA,V_PROM_IND,V_PAA_IND,PERFIL,IPP,INSCRITO,CAMPUS_APORTACION,EDAD,ORIGEN_DE_LA_SOLICITUD,RUBRICA,ENSAYO,CV,V_PLDM,V_SOL_BSE,BECA_SOAF,CREDITO_SOAF,V_POSTDTA,V_POSTULADOBTE,v_becadobte,BECABTE,DISCIPLINA,V_POSBCRE,BECA_BHP,V_POSBEM,V_POSBTT,V_BHP,V_BSE,v_anybeca,POST_ANYBECA,V_BECABTE,V_ANY_BECA,PRC_BECA_F,PRC_CREDITO_F
Guadalajara,GDA,Indefinida,F,N5,ESC,LC,H15057,The American School Foundation Guadalajara,Guadalajara,México,100.0,1336,Perfil A,0,0,Guadalajara,18.0,Solicitud,92.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,M,N5,ICI,ICI,H45384,Colegio Jesús María,,Uruguay,99.55,1520,Perfil A+,1,1,Extranjero LATAM,18.0,Solicitud,100.0,25.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,M,N5,ICI,ICI,H15466,Uni TecMilenio Campus L Torres,Monterrey,México,99.38,1498,Perfil A+,1,1,Monterrey,17.0,Solicitud,110.0,25.0,25.0,0.0,1.0,0.15,0.15,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.15,0.15
Guadalajara,GDA,Mexicana,F,N5,ESC,LAD,H01060,INSTITUTO DE CIENCIAS JACARANDAS,Zapopan,México,92.0,1359,Perfil A,1,1,Guadalajara,17.0,Solicitud,93.0,23.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,M,N5,NEG,NEG,H00103,Preparatoria No. 15 (U.A.N.L.),Monterrey,México,80.96,1261,Perfil A,1,1,Monterrey,17.0,Solicitud,90.0,15.0,15.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.25
Guadalajara,GDA,Mexicana,F,N5,IIT,IM,H20607,Universidad Tec Milenio Guadal,Tlaquepaque,México,94.04,1341,Perfil A,1,1,Guadalajara,17.0,Solicitud,89.0,19.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,M,N5,CIS,LEC,H15466,Uni TecMilenio Campus L Torres,Monterrey,México,80.0,1302,Perfil A,0,0,Monterrey,21.0,Solicitud,85.0,15.0,10.0,,,,,,,,,,,,,,,,,,,,,
Saltillo,SAL,Mexicana,M,N5,NEG,NEG,H67832,Escuela de Bachilleres Carolin,Saltillo,México,87.0,1267,Perfil A,0,0,Saltillo,18.0,Solicitud,83.0,13.0,10.0,0.0,1.0,0.45,0.25,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ciudad de México,CCM,Mexicana,M,N5,IIT,IMT,H00021,Preparatoria 7 Dr. Oscar Vela,Monterrey,México,96.38,1448,Perfil A+,0,0,Monterrey,16.0,Solicitud,96.0,21.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Querétaro,QRO,Mexicana,M,N5,IBQ,IBQ,H16826,Colegio Constantino,San Juan del Río,México,98.0,1416,Perfil A,1,1,Querétaro,17.0,Solicitud,104.0,19.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonora Norte,HER,Mexicana,F,N5,ICT,ITC,H27058,Universidad del Valle de Méxic,Hermosillo,México,96.2,1492,Perfil A+,0,0,Sonora Norte,17.0,Solicitud,86.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Querétaro,QRO,Mexicana,M,N5,IIT,IM,H04925,Colegio Alamos,Querétaro,México,87.0,1201,Perfil A,1,1,Querétaro,18.0,Marketing digital,100.0,15.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,M,N5,IBQ,IQ,H00103,Preparatoria No. 15 (U.A.N.L.),Monterrey,México,89.3,1283,Perfil B,0,0,Monterrey,16.0,Solicitud,80.0,25.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Puebla,PUE,Mexicana,F,N5,IBQ,IQ,H67050,Bachilleres Córdoba,Córdoba,México,97.0,1178,Perfil A,1,1,Puebla,17.0,Solicitud,72.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ciudad de México,CCM,Mexicana,M,N5,IIT,BME,H68225,Bachilleres Keystone Córdoba,Fortín,México,97.5,1307,Perfil A,1,1,Puebla,17.0,Marketing digital,104.0,19.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ciudad de México,CCM,Mexicana,F,N5,ESC,LTM,H16944,Prep Ctro de Ba J Vasconce S C,Lerma,México,80.0,1246,Perfil A,0,0,Toluca,23.0,Solicitud,95.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,F,N5,ESC,LAD,H02293,Preparatoria No. 16 (U.A.N.L.),San Nicolás de los Garza,México,86.06,1202,Perfil B,1,1,Monterrey,16.0,Solicitud,70.0,25.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,F,N5,IBQ,IBQ,H00006,Universidad de Monterrey,San Pedro Garza García,México,94.7,1346,Perfil A,1,1,Monterrey,17.0,Solicitud,106.0,21.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Monterrey,MTY,,,N5,ICT,ITC,H00036,Colegio Regiomontano Contry,Monterrey,México,92.52,1313,Perfil B,0,0,Monterrey,17.0,Solicitud,59.0,19.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,M,N5,NEG,NEG,H00006,Universidad de Monterrey,San Pedro Garza García,México,88.8,1207,Perfil A,1,1,Monterrey,18.0,Solicitud,110.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,M,N5,ICI,INA,H16285,Centro Educativo Jean Piaget,Córdoba,México,95.7,1306,Perfil A,1,1,Puebla,17.0,Solicitud,100.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chihuahua,CHH,Mexicana,M,N5,IIT,IC,H13690,COBACH Plantel No. 8,Chihuahua,México,100.0,1335,Perfil A,1,1,Chihuahua,17.0,Marketing digital,100.0,25.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,F,N5,IIT,IIS,H43899,Col Chapultepec La Primavera,Culiacán,México,90.0,1304,Perfil A,0,0,Sinaloa,17.0,Solicitud,95.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,M,N5,ICT,ITC,H62125,Escuela Americana de Tampico,Tampico,México,93.0,1370,Perfil A+,1,1,Tampico,17.0,Solicitud,108.0,23.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Aguascalientes,AGS,Mexicana,F,N5,ESC,ESC,H17282,Un del Valle de Mex - C Aguasc,Aguascalientes,México,80.0,1117,Perfil D,1,1,Aguascalientes,24.0,Solicitud,40.0,15.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,M,N5,ICT,ICT,H66269,Cent Inv y Desarrollo Educ Bil,Monterrey,México,92.06,1297,Perfil A,0,0,Monterrey,16.0,Solicitud,89.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Fe,CSF,Mexicana,M,N5,IIT,IIT,H08632,Universidad Panamericana,Indefinido,México,93.0,1208,Perfil A,1,1,Santa Fe,18.0,Solicitud,90.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.9,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.9,0.0
Monterrey,MTY,Mexicana,F,N5,AMC,BA,H67816,INSTITUTO CIMA EDUCATIVA,Córdoba,México,99.64,1445,Perfil A+,1,1,Puebla,17.0,Marketing digital,104.0,19.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
