CAMPUS_UTILIZADO,SEDE,NACIONALIDAD,CLAVE_GENERO,CLAVE_TIPO_ADMISION_TIPO_INGRESO,AREA,CLAVE_MAJOR_PGMA_ACAD,CLAVE_ESCUELA,NOMBRE_ESCUELA,DESC_CIUDAD_ESCUELA,DESC_MUNICIPIO_ESCUELA,DESC_ESTADO_ESCUELA,V_PROM_IND,V_PAA_IND,FECHA_DECISION_ADMISION_FINAL,IPP,INSCRITO,CAMPUS_APORTACION,EDAD,ORIGEN_DE_LA_SOLICITUD,PUNTAJE_EUC,V_PLDM,V_SOL_BSE,BECA_SOAF,CREDITO_SOAF,V_POSTDTA,V_POSTULADOBTE,v_becadobte,BECABTE,DISCIPLINA,V_POSBCRE,BECA_BHP,V_POSBEM,V_BHP,V_BSE,v_anybeca,POST_ANYBECA,TIPO_BECA_F,V_BECABTE,V_ANY_BECA,PRC_BECA_F,PRC_CREDITO_F,V_PAA_MISSING
Monterrey,MTY,Mexicana,M,P5,ICT,ICT,H13990,ITESM Campus Garza Lagüera,Monterrey,Monterrey,Nuevo León,77.4,1344.0,2023-12-12T00:00:00.000Z,1,1,Monterrey,19.0,Solicitud,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.9,0.0,1.0,0.0,1.0,1.0,Hijo de Profesor,0.0,1.0,0.9,0.0,0
Monterrey,MTY,Mexicana,M,P5,SLD,LNB,H13990,ITESM Campus Garza Lagüera,Monterrey,Monterrey,Nuevo León,88.32,,2023-10-24T00:00:00.000Z,1,1,Monterrey,18.0,Base de datos,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,1
Monterrey,MTY,Mexicana,M,P5,ICI,IFI,H00229,ITESM Campus Eugenio Gza. Sada,Monterrey,Monterrey,Nuevo León,98.02,1515.0,2023-12-15T00:00:00.000Z,1,1,Monterrey,18.0,Solicitud,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0
Guadalajara,GDA,Mexicana,M,P5,ICT,ITC,H00177,ITESM Campus Guadalajara,Zapopan,Zapopan,Jalisco,89.7,,2023-09-28T00:00:00.000Z,1,1,Guadalajara,18.0,Base de datos,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.9,0.0,1.0,0.0,1.0,1.0,Hijo de Profesor,0.0,1.0,0.9,0.0,1
Monterrey,MTY,Mexicana,M,P5,IBQ,IBT,H13990,ITESM Campus Garza Lagüera,Monterrey,Monterrey,Nuevo León,84.46,,2024-01-22T00:00:00.000Z,1,1,Monterrey,18.0,Base de datos,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,1
Monterrey,MTY,Mexicana,M,P5,NEG,LDE,H00229,ITESM Campus Eugenio Gza. Sada,Monterrey,Monterrey,Nuevo León,91.62,,2023-11-09T00:00:00.000Z,1,1,Monterrey,18.0,Base de datos,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,1
Monterrey,MTY,Mexicana,M,P5,NEG,NEG,H13917,ITESM Campus Santa Catarina,Ciudad Santa Catarina,Santa Catarina,Nuevo León,82.55,,2023-11-16T00:00:00.000Z,1,1,Monterrey,18.0,Solicitud,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,1
Monterrey,MTY,Mexicana,F,P5,SLD,MC,H13917,ITESM Campus Santa Catarina,Ciudad Santa Catarina,Santa Catarina,Nuevo León,94.43,1329.0,2024-01-18T00:00:00.000Z,1,1,Monterrey,18.0,Solicitud,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.9,0.0,1.0,0.0,1.0,1.0,Hijo de Profesor,0.0,1.0,0.9,0.0,0
Monterrey,MTY,Mexicana,F,P5,SLD,LNB,H13989,ITESM Campus Cumbres,Monterrey,Monterrey,Nuevo León,91.5,,2023-11-16T00:00:00.000Z,1,1,Monterrey,18.0,Base de datos,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.9,0.0,1.0,0.0,1.0,1.0,Hijo de Profesor,0.0,1.0,0.9,0.0,1
Monterrey,MTY,Mexicana,F,P5,IBQ,IDS,H13990,ITESM Campus Garza Lagüera,Monterrey,Monterrey,Nuevo León,90.36,,2024-01-25T00:00:00.000Z,0,0,Monterrey,18.0,Solicitud,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,1
Monterrey,MTY,Mexicana,F,P5,NEG,LDO,H13990,ITESM Campus Garza Lagüera,Monterrey,Monterrey,Nuevo León,95.63,1329.0,2023-11-24T00:00:00.000Z,1,1,Monterrey,18.0,Base de datos,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0
