SEDE,NACIONALIDAD,CLAVE_GENERO,CLAVE_TIPO_ADMISION_TIPO_INGRESO,CLAVE_MAJOR_PGMA_ACAD,CLAVE_ESCUELA,DESC_ESTADO_ESCUELA,V_PROM_IND,V_PAA_IND,V_TEC_NO_TEC,FECHA_DECISION_ADMISION_FINAL,PERFIL,INSCRITO,CAMPUS_APORTACION,EDAD,ORIGEN_DE_LA_SOLICITUD,PUNTAJE_EUC,RUBRICA,ENSAYO,CV,BECA_SOAF,CREDITO_SOAF,V_POSTDTA,BECABTE,DISCIPLINA,V_BHP,POST_ANYBECA,TIPO_BECA_F,V_ANY_BECA,PRC_BECA_F,PRC_CREDITO_F,ESTADO_BSE,ESTADO_BTE
GDA,Indefinida,F,N5,LC,H15057,Jalisco,100.0,1336,No Tec,2023-10-26T00:00:00.000Z,Perfil A,0,Guadalajara,18.0,Solicitud,50.0,92.0,17.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,ICI,H45384,,99.55,1520,No Tec,2023-12-15T00:00:00.000Z,Perfil A+,1,Extranjero LATAM,18.0,Solicitud,,100.0,25.0,15.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,ICI,H15466,Nuevo León,99.38,1498,No Tec,2023-10-19T00:00:00.000Z,Perfil A+,1,Monterrey,17.0,Solicitud,50.0,110.0,25.0,25.0,0.15,0.15,1.0,0.0,No aplica,0.0,1.0,Tradicional,1.0,0.15,0.15,2.0,0.0
GDA,Mexicana,F,N5,LAD,H01060,Jalisco,92.0,1359,No Tec,2023-11-15T00:00:00.000Z,Perfil A,1,Guadalajara,17.0,Solicitud,50.0,93.0,23.0,10.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,NEG,H00103,Nuevo León,80.96,1261,No Tec,2024-01-03T00:00:00.000Z,Perfil A,1,Monterrey,17.0,Solicitud,18.0,90.0,15.0,15.0,0.0,0.25,0.0,0.0,No aplica,0.0,1.0,Tradicional,1.0,0.0,0.25,2.0,0.0
GDA,Mexicana,F,N5,IM,H20607,Jalisco,94.04,1341,No Tec,2024-01-25T00:00:00.000Z,Perfil A,1,Guadalajara,17.0,Solicitud,43.0,89.0,19.0,10.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,LEC,H15466,Nuevo León,80.0,1302,No Tec,2024-02-23T00:00:00.000Z,Perfil A,0,Monterrey,21.0,Solicitud,45.0,85.0,15.0,10.0,,,,,,,,,,,,,
SAL,Mexicana,M,N5,NEG,H67832,Coahuila,87.0,1267,No Tec,2023-12-12T00:00:00.000Z,Perfil A,0,Saltillo,18.0,Solicitud,9.0,83.0,13.0,10.0,0.45,0.25,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,1.0,0.0
CCM,Mexicana,M,N5,IMT,H00021,Nuevo León,96.38,1448,No Tec,2024-02-28T00:00:00.000Z,Perfil A+,0,Monterrey,16.0,Solicitud,29.0,96.0,21.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
QRO,Mexicana,M,N5,IBQ,H16826,Querétaro,98.0,1416,No Tec,2024-01-11T00:00:00.000Z,Perfil A,1,Querétaro,17.0,Solicitud,47.0,104.0,19.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
HER,Mexicana,F,N5,ITC,H27058,Sonora,96.2,1492,No Tec,2023-10-27T00:00:00.000Z,Perfil A+,0,Sonora Norte,17.0,Solicitud,50.0,86.0,11.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
QRO,Mexicana,M,N5,IM,H04925,Querétaro,87.0,1201,No Tec,2023-12-05T00:00:00.000Z,Perfil A,1,Querétaro,18.0,Marketing digital,48.0,100.0,15.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,IQ,H00103,Nuevo León,89.3,1283,No Tec,2023-10-12T00:00:00.000Z,Perfil B,0,Monterrey,16.0,Solicitud,36.0,80.0,25.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
PUE,Mexicana,F,N5,IQ,H67050,Veracruz,97.0,1178,No Tec,2024-02-21T00:00:00.000Z,Perfil A,1,Puebla,17.0,Solicitud,19.0,72.0,2.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CCM,Mexicana,M,N5,BME,H68225,Veracruz,97.5,1307,No Tec,2024-01-22T00:00:00.000Z,Perfil A,1,Puebla,17.0,Marketing digital,,104.0,19.0,25.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CCM,Mexicana,F,N5,LTM,H16944,Estado de México,80.0,1246,No Tec,2023-11-18T00:00:00.000Z,Perfil A,0,Toluca,23.0,Solicitud,27.0,95.0,25.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,N5,LAD,H02293,Nuevo León,86.06,1202,No Tec,2023-11-16T00:00:00.000Z,Perfil B,1,Monterrey,16.0,Solicitud,50.0,70.0,25.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,1.0,0.0
MTY,Mexicana,F,N5,IBQ,H00006,Nuevo León,94.7,1346,No Tec,2023-12-11T00:00:00.000Z,Perfil A,1,Monterrey,17.0,Solicitud,49.0,106.0,21.0,25.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,,,N5,ITC,H00036,Nuevo León,92.52,1313,No Tec,,Perfil B,0,Monterrey,17.0,Solicitud,39.0,59.0,19.0,10.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,NEG,H00006,Nuevo León,88.8,1207,No Tec,2023-12-05T00:00:00.000Z,Perfil A,1,Monterrey,18.0,Solicitud,27.0,110.0,25.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,INA,H16285,Veracruz,95.7,1306,No Tec,2023-11-16T00:00:00.000Z,Perfil A,1,Puebla,17.0,Solicitud,43.0,100.0,25.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CHH,Mexicana,M,N5,IC,H13690,Chihuahua,100.0,1335,No Tec,2024-02-06T00:00:00.000Z,Perfil A,1,Chihuahua,17.0,Marketing digital,50.0,100.0,25.0,15.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,N5,IIS,H43899,Sinaloa,90.0,1304,No Tec,2024-02-27T00:00:00.000Z,Perfil A,0,Sinaloa,17.0,Solicitud,35.0,95.0,25.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,ITC,H62125,Tamaulipas,93.0,1370,No Tec,2023-12-05T00:00:00.000Z,Perfil A+,1,Tampico,17.0,Solicitud,,108.0,23.0,25.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
AGS,Mexicana,F,N5,ESC,H17282,Aguascalientes,80.0,1117,No Tec,2024-01-10T00:00:00.000Z,Perfil D,1,Aguascalientes,24.0,Solicitud,50.0,40.0,15.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
