SEDE,NACIONALIDAD,CLAVE_GENERO,CLAVE_TIPO_ADMISION_TIPO_INGRESO,CLAVE_MAJOR_PGMA_ACAD,CLAVE_ESCUELA,DESC_ESTADO_ESCUELA,V_PROM_IND,V_PAA_IND,FECHA_DECISION_ADMISION_FINAL,INSCRITO,CAMPUS_APORTACION,EDAD,ORIGEN_DE_LA_SOLICITUD,PUNTAJE_EUC,BECA_SOAF,CREDITO_SOAF,V_POSTDTA,BECABTE,DISCIPLINA,V_BHP,POST_ANYBECA,TIPO_BECA_F,V_ANY_BECA,PRC_BECA_F,PRC_CREDITO_F,ESTADO_BSE,ESTADO_BTE
MTY,Mexicana,M,P5,ICT,H13990,Nuevo León,77.4,1344,2023-12-12T00:00:00.000Z,1,Monterrey,19.0,Solicitud,,0.0,0.0,0.0,0.0,No aplica,1.0,1.0,Hijo de Profesor,1.0,0.9,0.0,0.0,0.0
MTY,Mexicana,M,P5,LNB,H13990,Nuevo León,88.32,0,2023-10-24T00:00:00.000Z,1,Monterrey,18.0,Base de datos,50.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,P5,IFI,H00229,Nuevo León,98.02,1515,2023-12-15T00:00:00.000Z,1,Monterrey,18.0,Solicitud,50.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
GDA,Mexicana,M,P5,ITC,H00177,Jalisco,89.7,0,2023-09-28T00:00:00.000Z,1,Guadalajara,18.0,Base de datos,44.0,0.0,0.0,0.0,0.0,No aplica,1.0,1.0,Hijo de Profesor,1.0,0.9,0.0,0.0,0.0
MTY,Mexicana,M,P5,IBT,H13990,Nuevo León,84.46,0,2024-01-22T00:00:00.000Z,1,Monterrey,18.0,Base de datos,50.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,P5,LDE,H00229,Nuevo León,91.62,0,2023-11-09T00:00:00.000Z,1,Monterrey,18.0,Base de datos,38.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,P5,NEG,H13917,Nuevo León,82.55,0,2023-11-16T00:00:00.000Z,1,Monterrey,18.0,Solicitud,47.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,P5,MC,H13917,Nuevo León,94.43,1329,2024-01-18T00:00:00.000Z,1,Monterrey,18.0,Solicitud,50.0,0.0,0.0,0.0,0.0,No aplica,1.0,1.0,Hijo de Profesor,1.0,0.9,0.0,0.0,0.0
MTY,Mexicana,F,P5,LNB,H13989,Nuevo León,91.5,0,2023-11-16T00:00:00.000Z,1,Monterrey,18.0,Base de datos,48.0,0.0,0.0,0.0,0.0,No aplica,1.0,1.0,Hijo de Profesor,1.0,0.9,0.0,0.0,0.0
MTY,Mexicana,F,P5,IDS,H13990,Nuevo León,90.36,0,2024-01-25T00:00:00.000Z,0,Monterrey,18.0,Solicitud,50.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
