dataset,modelo,type,f1_macro,precision_macro,recall_macro,roc_auc_ovr,train_time_s
PrepaTec,RF,homogéneo,0.5732196203684405,0.5761037939999689,0.5709972695452631,,0.838
PrepaTec,LGBM,homogéneo,0.5679670585845716,0.5656544299791568,0.5873799979666826,,2.059
PrepaTec,STACK,heterogéneo,0.5484226060716224,0.576172360800199,0.6245388726707624,,0.326
PrepaTec,IND_Ridge,individual,0.448932487016734,0.4073298429319372,0.5,0.6647858481111933,0.003
Profesional_PrepaTec,RF,homogéneo,0.6085986894399644,0.6049379822600418,0.613558680536588,,0.967
Profesional_PrepaTec,STACK,heterogéneo,0.5783237267315506,0.6081442811829227,0.6678847069289777,,0.285
Profesional_PrepaTec,XGB,homogéneo,0.5637694883618797,0.5852447869446963,0.558700046042312,,1.204
Profesional_PrepaTec,IND_Ridge,individual,0.45549256568674046,0.6501591089896579,0.5044188913947699,0.6869747079434694,0.007
Profesional_Externos,LGBM,homogéneo,0.6500065590974682,0.6498961270218133,0.6558797280997071,,1.006
Profesional_Externos,RF,homogéneo,0.6436364719638349,0.64817367248212,0.6551094468120128,,0.702
Profesional_Externos,STACK,heterogéneo,0.6430055010310959,0.6522158423851383,0.6587242392990055,,13.912
Profesional_Externos,IND_Ridge,individual,0.6181042306281257,0.6407669207669208,0.6175444101239909,0.7043971616613387,0.028
